what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.PropertySheet",1430236576945
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430236583696
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430236585117
activated,editor,org.eclipse.emf.ecore.editor,2.7.0.v20120130-0943,"org.eclipse.emf.ecore.presentation.EcoreEditorID",1430236595176
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.PropertySheet",1430236601314
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430236614941
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430236618871
activated,editor,org.eclipse.emf.ecore.editor,2.7.0.v20120130-0943,"org.eclipse.emf.ecore.presentation.EcoreEditorID",1430236629874
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.PropertySheet",1430236634761
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430236645887
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430236647735
activated,editor,org.eclipse.emf.ecore.editor,2.7.0.v20120130-0943,"org.eclipse.emf.ecore.presentation.EcoreEditorID",1430236654754
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.PropertySheet",1430236659666
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430236679288
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430236679442
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430236679457
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430236679604
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430236679619
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430236687216
